Cd,Cl,Cl_to_Cd,Range_m,Max_Height_m,Flight_Time_s
0.18,0.06,0.3333,98.91,9.74,2.94
0.1827,0.06,0.3284,98.76,9.73,2.94
0.1855,0.06,0.3235,98.6,9.71,2.94
0.1882,0.06,0.3188,98.15,9.7,2.93
0.1909,0.06,0.3143,97.99,9.69,2.93
0.1936,0.06,0.3099,97.84,9.68,2.93
0.1964,0.06,0.3056,97.69,9.66,2.93
0.1991,0.06,0.3014,97.24,9.65,2.92
0.2018,0.06,0.2973,97.09,9.64,2.92
0.2045,0.06,0.2933,96.94,9.63,2.92
0.2073,0.06,0.2895,96.79,9.62,2.92
0.21,0.06,0.2857,96.65,9.6,2.92
0.2127,0.06,0.2821,96.21,9.59,2.91
0.2155,0.06,0.2785,96.06,9.58,2.91
0.2182,0.06,0.275,95.92,9.57,2.91
0.2209,0.06,0.2716,95.77,9.56,2.91
0.2236,0.06,0.2683,95.34,9.54,2.9
0.2264,0.06,0.2651,95.2,9.53,2.9
0.2291,0.06,0.2619,95.05,9.52,2.9
0.2318,0.06,0.2588,94.91,9.51,2.9
0.2345,0.06,0.2558,94.77,9.5,2.9
0.2373,0.06,0.2529,94.34,9.49,2.89
0.24,0.06,0.25,94.2,9.47,2.89
0.2427,0.06,0.2472,94.06,9.46,2.89
0.2455,0.06,0.2444,93.93,9.45,2.89
0.2482,0.06,0.2418,93.51,9.44,2.88
0.2509,0.06,0.2391,93.37,9.43,2.88
0.2536,0.06,0.2366,93.23,9.42,2.88
0.2564,0.06,0.234,93.1,9.41,2.88
0.2591,0.06,0.2316,92.96,9.39,2.88
0.2618,0.06,0.2292,92.55,9.38,2.87
0.2645,0.06,0.2268,92.42,9.37,2.87
0.2673,0.06,0.2245,92.28,9.36,2.87
0.27,0.06,0.2222,92.15,9.35,2.87
0.2727,0.06,0.22,92.02,9.34,2.87
0.2755,0.06,0.2178,91.61,9.33,2.86
0.2782,0.06,0.2157,91.48,9.32,2.86
0.2809,0.06,0.2136,91.35,9.31,2.86
0.2836,0.06,0.2115,91.22,9.29,2.86
0.2864,0.06,0.2095,90.82,9.28,2.85
0.2891,0.06,0.2075,90.7,9.27,2.85
0.2918,0.06,0.2056,90.57,9.26,2.85
0.2945,0.06,0.2037,90.44,9.25,2.85
0.2973,0.06,0.2018,90.32,9.24,2.85
0.3,0.06,0.2,89.92,9.23,2.84
0.3027,0.06,0.1982,89.8,9.22,2.84
0.3055,0.06,0.1964,89.67,9.21,2.84
0.3082,0.06,0.1947,89.55,9.2,2.84
0.3109,0.06,0.193,89.43,9.19,2.84
