sensor,known_mass_g,reading_g,trial,notes
lift_cell,0,,1,
lift_cell,0,,2,
lift_cell,0,,3,
lift_cell,1,,1,
lift_cell,1,,2,
lift_cell,1,,3,
lift_cell,2,,1,
lift_cell,2,,2,
lift_cell,2,,3,
lift_cell,5,,1,
lift_cell,5,,2,
lift_cell,5,,3,
lift_cell,10,,1,
lift_cell,10,,2,
lift_cell,10,,3,
lift_cell,20,,1,
lift_cell,20,,2,
lift_cell,20,,3,
lift_cell,50,,1,
lift_cell,50,,2,
lift_cell,50,,3,
drag_cell,0,,1,
drag_cell,0,,2,
drag_cell,0,,3,
drag_cell,1,,1,
drag_cell,1,,2,
drag_cell,1,,3,
drag_cell,2,,1,
drag_cell,2,,2,
drag_cell,2,,3,
drag_cell,5,,1,
drag_cell,5,,2,
drag_cell,5,,3,
drag_cell,10,,1,
drag_cell,10,,2,
drag_cell,10,,3,
drag_cell,20,,1,
drag_cell,20,,2,
drag_cell,20,,3,
drag_cell,50,,1,
drag_cell,50,,2,
drag_cell,50,,3,
